,units,n_back,dropout,vloss,sec_elaps
147,672,624,0.1,0.005676502827554941,206
181,672,624,0.0,0.00567199569195509,272
134,528,144,0.0,0.005666942801326513,88
202,288,624,0.0,0.005649632308632135,117
152,528,624,0.1,0.005649314261972904,229
61,480,192,0.2,0.005619444884359837,82
170,336,720,0.0,0.005616872571408749,186
180,288,288,0.0,0.0056158085353672504,66
52,480,48,0.2,0.005615348927676678,43
95,720,144,0.2,0.005615024361759424,110
35,720,384,0.0,0.005597605369985104,189
124,144,120,0.2,0.005584411323070526,54
58,72,864,0.2,0.005582514684647322,112
42,120,48,0.1,0.005581606645137072,21
155,624,96,0.1,0.005580556113272905,74
8,480,768,0.0,0.00557413836941123,312
206,432,768,0.1,0.00556723540648818,226
88,336,768,0.2,0.005559364799410105,242
98,72,96,0.0,0.005549275781959295,30
80,192,384,0.1,0.005523545201867819,74
33,480,672,0.0,0.0055158790200948715,279
65,240,432,0.0,0.005504289176315069,109
125,480,72,0.2,0.005483993794769049,42
46,96,768,0.1,0.005482833832502365,84
177,624,528,0.1,0.00547853484749794,271
74,240,96,0.2,0.005462910048663616,38
143,624,144,0.1,0.005461984779685736,98
162,48,72,0.1,0.005456832237541676,26
19,24,12,0.2,0.005433783400803804,38
40,672,120,0.2,0.005411024205386639,90
51,672,720,0.1,0.00540898134931922,384
133,96,144,0.1,0.005369639955461025,35
161,288,768,0.0,0.005368234124034643,223
106,432,120,0.1,0.005361393094062805,66
174,144,576,0.1,0.005340274423360825,124
60,672,144,0.1,0.005329068750143051,122
135,96,480,0.0,0.0052373381331563,94
156,288,72,0.0,0.0052139125764369965,51
1,864,72,0.2,0.00520800007507205,102
215,96,528,0.0,0.005191989708691835,82
123,240,384,0.2,0.00517897866666317,124
115,144,240,0.0,0.005152630154043436,80
37,576,528,0.2,0.005090631544589996,300
103,144,48,0.2,0.00508726155385375,36
140,192,288,0.2,0.005067028105258942,96
182,48,384,0.0,0.005025146529078484,61
119,24,384,0.2,0.005014396738260984,94
64,336,48,0.2,0.005013426765799522,44
69,48,72,0.2,0.005010941065847874,45
192,528,432,0.0,0.004994556307792664,248
187,12,672,0.2,0.00496823200955987,155
49,48,720,0.1,0.004961233586072922,132
207,96,192,0.2,0.004945810418576002,51
198,720,336,0.1,0.004930897615849972,291
