,units,n_back,n_dense,dropout,vloss,test_mae_pers,test_mae_pred,test_skill,frac_0_mae_pers
40,72,432,36,0.1,0.0542464479804039,0.04557496955470568,0.04673300343900495,-0.025409427490878267,0.0
41,288,72,24,0.1,0.06054919585585594,0.04557496955470568,0.0415493839113223,0.08832887180651405,0.0
42,240,144,24,0.1,0.053657401353120804,0.04557496955470568,0.039745878566051315,0.12790114937229835,0.0
43,288,144,36,0.0,0.05250852555036545,0.04557496955470568,0.04016629674648553,0.11867638883944565,0.0
44,384,96,24,0.0,0.0543571300804615,0.04557496955470568,0.03943086576897551,0.1348131188185463,0.0
45,192,288,36,0.0,0.044188350439071655,0.04557496955470568,0.04214433937107714,0.07527443719980109,0.0
46,144,336,24,0.1,0.05588611587882042,0.04557496955470568,0.04611549169576217,-0.011860065872510983,0.0
47,288,240,36,0.0,0.052145037800073624,0.04557496955470568,0.04449409295658635,0.02371645244484255,0.0
48,288,120,24,0.1,0.057834818959236145,0.04557496955470568,0.041166490486837695,0.09673026906965432,0.0
49,24,96,36,0.0,0.060845110565423965,0.04557496955470568,0.044948554412765754,0.013744718823959001,0.0
50,144,144,36,0.1,0.057030342519283295,0.04557496955470568,0.041984712021552066,0.07877695955109887,0.0
51,192,432,24,0.0,0.046939630061388016,0.04557496955470568,0.04077007751346002,0.10542831050008994,0.0
52,24,96,24,0.0,0.054049137979745865,0.04557496955470568,0.041204926673878345,0.09588690729857263,0.0
53,288,24,36,0.0,0.06179441884160042,0.04557496955470568,0.0428333166196089,0.06015698884462983,0.0
54,240,192,36,0.0,0.05131354182958603,0.04557496955470568,0.03801173897869341,0.16595141258259727,0.0
55,72,384,24,0.0,0.057578783482313156,0.04557496955470568,0.04311604667484326,0.0539533630825767,0.0
56,192,384,36,0.0,0.056806519627571106,0.04557496955470568,0.043592030017319226,0.04350939905744178,0.0
57,480,432,24,0.1,0.0663166269659996,0.04557496955470568,0.045198537063723586,0.008259632308261766,0.0
58,144,120,24,0.1,0.05387117341160774,0.04557496955470568,0.040745842739065424,0.10596006673890668,0.0
59,96,480,36,0.1,0.04890655726194382,0.04557496955470568,0.040579169557685944,0.10961718780794905,0.0
60,120,336,24,0.1,0.05734431743621826,0.04557496955470568,0.04385810531159242,0.03767120987436812,0.0
61,72,240,24,0.1,0.06150811165571213,0.04557496955470568,0.04203714136523125,0.0776265617737345,0.0
62,336,192,24,0.1,0.06578204035758972,0.04557496955470568,0.04266946032895924,0.06375230206701121,0.0
63,48,480,24,0.0,0.04640129953622818,0.04557496955470568,0.039602132355337084,0.13105520986029684,0.0
64,288,48,24,0.0,0.0579884797334671,0.04557496955470568,0.03948813557147214,0.13355651232914678,0.0
65,432,384,24,0.0,0.060748882591724396,0.04557496955470568,0.0423724752147016,0.07026871046309702,0.0
66,384,120,36,0.1,0.05845201388001442,0.04557496955470568,0.04519165544366966,0.008410627912233903,0.0
67,24,120,36,0.0,0.0518229678273201,0.04557496955470568,0.0414852990813652,0.08973501273394069,0.0
68,144,480,36,0.1,0.045199476182460785,0.04557496955470568,0.03694717057180459,0.18931003283600123,0.0
69,48,144,24,0.1,0.06119440495967865,0.04557496955470568,0.04406207568239036,0.03319571877057037,0.0
