,units,n_back,n_dense,dropout,vloss,test_mae_pers,test_mae_pred,test_skill,frac_0_mae_pers
50,384,480,24,0,0.092272222,0.04557497,0.04865733,-0.067632747,0
40,24,288,24,0.1,0.072670616,0.04557497,0.048682281,-0.068180227,0
122,240,336,36,0,0.074013814,0.04557497,0.048812107,-0.071028855,0
121,192,240,24,0.1,0.069315232,0.04557497,0.048861894,-0.072121275,0
126,24,336,36,0.1,0.077260725,0.04557497,0.048973042,-0.074560069,0
39,192,72,36,0,0.081124231,0.04557497,0.049057074,-0.076403884,0
85,240,384,24,0,0.088489242,0.04557497,0.049137417,-0.078166744,0
49,72,120,24,0.1,0.083920769,0.04557497,0.04915377,-0.078525564,0
89,192,240,36,0,0.078978091,0.04557497,0.049328624,-0.082362187,0
28,384,192,36,0.1,0.077247724,0.04557497,0.049352843,-0.082893598,0
41,144,144,36,0,0.089825213,0.04557497,0.04967636,-0.08999217,0
141,288,384,24,0,0.083952323,0.04557497,0.049775997,-0.0921784,0
102,144,288,36,0,0.081114456,0.04557497,0.050228023,-0.10209668,0
87,480,336,36,0,0.077144705,0.04557497,0.050313406,-0.103970148,0
27,48,288,36,0.1,0.072608486,0.04557497,0.050345079,-0.104665123,0
59,480,384,24,0,0.087408945,0.04557497,0.050694821,-0.112339116,0
111,48,384,24,0,0.073288858,0.04557497,0.051370558,-0.127166038,0
58,72,432,24,0.1,0.095989451,0.04557497,0.052649136,-0.155220442,0
8,432,192,24,0,0.093022719,0.04557497,0.053776295,-0.179952414,0
