,Etot,Tamb,TambForecast,EtotPeakHour
2016-08-05,0.513,24.54,22.57,12
2016-08-06,0.4399999999999999,29.8,24.54,17
2016-08-07,0.415,31.41,29.8,19
2016-08-08,0.609,34.8,31.41,9
2016-08-09,0.599,36.52,34.8,15
2016-08-10,0.665,32.98,36.52,2
2016-08-11,0.466,32.53,32.98,21
2016-08-12,0.568,29.13,32.53,12
2016-08-13,0.392,32.01,29.13,8
2016-08-14,0.489,35.23,32.01,21
2016-08-15,0.4619999999999999,32.84,35.23,17
2016-08-16,0.552,33.0,32.84,7
2016-08-17,0.49,32.09,33.0,6
2016-08-18,0.377,29.7,32.09,16
2016-08-19,0.458,26.28,29.7,16
2016-08-20,0.387,26.03,26.28,22
2016-08-21,0.55,33.5,26.03,12
2016-08-22,0.393,32.02,33.5,5
2016-08-23,0.451,28.19,32.02,11
2016-08-24,0.526,19.8,28.19,5
2016-08-25,1.095,20.04,19.8,20
2016-08-26,0.48,27.75,20.04,14
2016-08-27,0.737,29.65,27.75,19
2016-08-28,0.6180000000000001,30.62,29.65,9
2016-08-29,0.404,27.33,30.62,20
2016-08-30,0.5680000000000001,27.79,27.33,6
2016-08-31,0.713,27.61,27.79,19
2016-09-01,0.725,30.66,27.61,7
2016-09-02,0.479,32.85,30.66,4
2016-09-03,0.768,29.34,32.85,11
2016-09-04,0.76,32.91,29.34,21
2016-09-05,0.7040000000000001,34.57,32.91,10
2016-09-06,0.593,26.29,34.57,19
2016-09-07,0.414,32.63,26.29,15
2016-09-08,0.432,35.56,32.63,20
2016-09-09,0.3839999999999999,23.16,35.56,7
2016-09-10,0.646,33.27,23.16,12
2016-09-11,0.499,34.1,33.27,21
2016-09-12,0.394,22.2,34.1,16
2016-09-13,0.453,16.62,22.2,14
2016-09-14,0.8200000000000001,24.43,16.62,9
2016-09-15,0.881,22.74,24.43,13
2016-09-16,0.4459999999999999,23.74,22.74,9
2016-09-17,0.414,28.32,23.74,10
2016-09-18,0.552,33.62,28.32,8
2016-09-19,0.513,35.43,33.62,13
2016-09-20,0.58,31.57,35.43,12
2016-09-21,0.748,30.37,31.57,16
2016-09-22,0.5670000000000001,23.7,30.37,6
2016-09-23,0.454,32.17,23.7,6
2016-09-24,0.7310000000000001,21.01,32.17,21
2016-09-25,0.519,22.7,21.01,11
2016-09-26,0.446,26.58,22.7,20
2016-09-27,0.625,30.41,26.58,9
2016-09-28,0.508,29.56,30.41,11
2016-09-29,0.52,27.16,29.56,17
2016-09-30,0.516,24.06,27.16,5
2016-10-01,0.728,31.5,24.06,7
2016-10-02,1.265,29.18,31.5,20
2016-10-03,0.794,26.96,29.18,12
2016-10-04,0.42,17.01,26.96,19
2016-10-05,0.445,17.91,17.01,6
2016-10-06,2.4450000000000003,14.59,17.91,17
2016-10-07,1.709,21.69,14.59,1
2016-10-08,0.379,24.53,21.69,7
2016-10-09,0.678,23.74,24.53,17
2016-10-10,0.5220000000000001,25.18,23.74,7
2016-10-11,0.6579999999999999,26.36,25.18,6
2016-10-12,1.287,8.32,26.36,18
2016-10-13,1.6739999999999997,26.04,8.32,0
2016-10-14,0.509,27.28,26.04,15
2016-10-15,0.7060000000000001,29.28,27.28,18
2016-10-16,0.8750000000000001,30.79,29.28,18
2016-10-17,0.648,24.2,30.79,5
2016-10-18,1.0239999999999998,17.45,24.2,20
2016-10-19,1.7639999999999998,15.11,17.45,21
2016-10-20,2.658,17.55,15.11,21
2016-10-21,0.436,28.51,17.55,17
2016-10-22,0.68,27.73,28.51,9
2016-10-23,0.841,21.53,27.73,11
2016-10-24,0.5569999999999999,26.53,21.53,10
2016-10-25,0.434,23.93,26.53,6
2016-10-26,0.525,24.65,23.93,6
2016-10-27,0.635,28.44,24.65,19
2016-10-28,1.6439999999999997,27.0,28.44,22
2016-10-29,0.54,25.51,27.0,6
2016-10-30,0.468,23.98,25.51,6
2016-10-31,0.489,26.14,23.98,15
2016-11-01,0.426,18.46,26.14,18
2016-11-02,0.478,16.53,18.46,20
2016-11-03,0.945,21.49,16.53,9
2016-11-04,1.731,21.24,21.49,22
2016-11-05,1.761,19.01,21.24,20
2016-11-06,1.6969999999999998,20.5,19.01,23
2016-11-07,1.6859999999999995,17.8,20.5,0
2016-11-08,1.7029999999999998,18.73,17.8,22
2016-11-09,1.703,22.82,18.73,1
2016-11-10,1.67,20.29,22.82,23
2016-11-11,1.805,16.23,20.29,22
2016-11-12,1.802,21.34,16.23,21
2016-11-13,1.739,18.76,21.34,0
2016-11-14,1.657,21.83,18.76,23
2016-11-15,1.6589999999999998,26.33,21.83,1
2016-11-16,0.473,26.5,26.33,13
2016-11-17,1.755,6.767,26.5,21
2016-11-18,1.763,3.51,6.767,21
2016-11-19,3.1029999999999998,8.72,3.51,11
2016-11-20,2.013,19.99,8.72,16
2016-11-21,1.686,18.35,19.99,21
2016-11-22,1.76,8.45,18.35,20
2016-11-23,2.273,9.64,8.45,19
2016-11-24,1.985,9.24,9.64,10
2016-11-25,1.843,17.58,9.24,21
2016-11-26,1.695,16.47,17.58,21
2016-11-27,1.801,10.07,16.47,15
2016-11-28,1.847,6.007,10.07,9
2016-11-29,1.835,4.629,6.007,13
2016-11-30,1.6719999999999997,5.097,4.629,22
2016-12-01,1.927,5.685,5.097,20
2016-12-02,2.232,0.917,5.685,12
2016-12-03,2.1590000000000003,4.95,0.917,12
2016-12-04,1.732,12.68,4.95,22
2016-12-05,1.659,11.19,12.68,4
2016-12-06,3.04,-0.77,11.19,22
2016-12-07,3.0449999999999995,-7.4,-0.77,1
2016-12-08,1.759,-6.141,-7.4,7
2016-12-09,1.85,9.64,-6.141,18
2016-12-10,1.6569999999999998,16.29,9.64,23
2016-12-11,2.051,6.784,16.29,22
2016-12-12,3.952,5.947,6.784,10
2016-12-13,1.7079999999999995,8.58,5.947,23
2016-12-14,1.839,-2.511,8.58,19
2016-12-15,3.09,18.39,-2.511,23
2016-12-16,3.0729999999999995,5.671,18.39,0
2016-12-17,2.872,-13.29,5.671,23
2016-12-18,3.11,-1.962,-13.29,0
2016-12-19,1.7199999999999998,9.19,-1.962,20
2016-12-20,1.817,15.43,9.19,23
2016-12-21,2.385,5.955,15.43,0
2016-12-22,2.234,4.194,5.955,14
2016-12-23,1.827,12.23,4.194,7
2016-12-24,2.035,10.88,12.23,19
2016-12-25,2.472,5.181,10.88,17
