,units,n_back,dropout,vloss,sec_elaps
12,864,624,0.2,0.0003493734402582,548
108,432,24,0.1,0.0003487918875180185,53
49,336,768,0.1,0.0003477701684460044,563
326,336,144,0.1,0.00034754679654724896,151
121,96,12,0.2,0.00034716291702352464,46
387,864,96,0.0,0.00034701352706179023,138
11,12,720,0.2,0.0003469646908342,328
103,720,672,0.0,0.0003467692295089364,687
137,864,192,0.0,0.0003463182074483484,280
294,432,480,0.2,0.0003459483850747347,231
70,672,624,0.2,0.00034564078669063747,405
222,576,96,0.2,0.00034562041400931776,81
213,576,240,0.1,0.0003453759418334812,229
369,288,192,0.0,0.0003453355748206377,237
87,768,24,0.2,0.0003450862132012844,97
302,576,720,0.0,0.0003450196818448603,449
88,864,144,0.2,0.0003447377239353955,299
250,240,48,0.0,0.0003446395858190954,65
139,24,432,0.2,0.00034415864502079785,164
63,672,528,0.1,0.0003438197309151292,513
170,120,96,0.0,0.0003434362297412008,64
158,864,336,0.2,0.0003434081154409796,451
279,672,120,0.0,0.00034310511546209455,208
298,120,48,0.1,0.00034268683521077037,75
293,528,432,0.1,0.0003425372706260532,257
107,720,576,0.2,0.0003422643931116909,595
183,48,120,0.2,0.00034211212187074125,61
94,384,720,0.2,0.0003419718414079398,434
127,672,96,0.2,0.00034185979166068137,176
280,336,72,0.2,0.00034172588493674994,76
81,96,480,0.2,0.0003414732636883855,159
231,480,96,0.1,0.00034095568116754293,83
60,144,144,0.2,0.00034082107595168054,104
311,432,768,0.2,0.00034073879942297935,358
152,48,720,0.1,0.00034065390354953706,193
7,480,12,0.0,0.0003406114992685,64
263,24,672,0.0,0.00034009350929409266,236
261,384,288,0.2,0.0003399855922907591,205
6,48,528,0.0,0.0003396275278646,200
28,336,240,0.0,0.0003389818593859,163
277,192,240,0.0,0.00033850365434773266,202
233,72,672,0.1,0.00033789427834562957,294
308,576,24,0.2,0.00033719834755174816,43
303,528,432,0.2,0.00033693149453029037,259
32,288,528,0.2,0.0003368941543158,293
353,432,288,0.0,0.0003367374010849744,164
380,120,480,0.1,0.000336643832270056,204
287,768,768,0.0,0.00033648492535576224,849
22,192,192,0.1,0.0003364531439729,158
221,528,288,0.0,0.0003364376025274396,264
214,288,480,0.2,0.00033626978984102607,276
310,144,12,0.1,0.00033614030689932406,49
372,768,24,0.1,0.0003361091366969049,84
24,96,24,0.1,0.0003359066031407,83
119,120,96,0.2,0.00033590657403692603,61
44,672,336,0.0,0.0003355187945999205,345
142,48,624,0.0,0.00033530074870213866,278
75,288,96,0.1,0.00033510365756228566,105
122,24,384,0.0,0.0003350101178511977,151
111,384,144,0.0,0.0003349747566971928,157
126,192,528,0.0,0.0003348324098624289,270
284,192,24,0.0,0.0003337366506457329,68
148,240,672,0.2,0.0003334812936373055,334
256,24,144,0.0,0.0003332864725962281,127
