,units,n_back,dropout,vloss,sec_elaps
285,672,144,0.1,0.00043788706534542143,239
432,384,144,0.0,0.00043699421803466976,86
859,336,72,0.1,0.00043659788207150996,105
223,192,432,0.1,0.0004363716288935393,174
881,864,624,0.1,0.0004359448212198913,572
410,120,192,0.0,0.00043411485967226326,76
1122,24,144,0.2,0.00043321962584741414,102
1151,96,240,0.2,0.0004331526579335332,98
153,864,24,0.1,0.0004328784125391394,86
1072,720,864,0.2,0.00043261205428279936,645
62,864,576,0.2,0.0004324893234297633,508
91,336,720,0.1,0.00043084222124889493,414
668,288,720,0.1,0.00043019058648496866,277
415,624,48,0.0,0.00042928120819851756,60
685,624,288,0.1,0.00042798230424523354,206
194,720,96,0.2,0.0004278127453289926,99
512,720,24,0.1,0.0004275986284483224,52
102,24,432,0.0,0.00042649719398468733,128
1022,24,384,0.1,0.00042546787881292403,157
712,240,72,0.0,0.0004246433381922543,54
140,24,576,0.0,0.00042424944695085287,161
273,624,576,0.1,0.0004241197311785072,362
1014,72,864,0.0,0.00042398986988700926,223
244,24,144,0.1,0.0004231945495121181,66
631,192,480,0.1,0.0004229885817039758,265
774,96,432,0.2,0.00042228365782648325,130
550,96,384,0.0,0.00042168560321442783,109
759,12,480,0.1,0.00042102878796868026,201
877,144,384,0.1,0.0004209249163977802,153
221,48,192,0.0,0.0004208795144222677,89
899,144,72,0.2,0.0004208371101412922,78
1099,384,240,0.2,0.0004205493023619056,140
608,336,72,0.2,0.0004203752032481134,54
791,240,192,0.2,0.0004202087002340704,99
1025,120,720,0.0,0.0004192908527329564,213
992,120,144,0.0,0.00041928800055757165,68
323,12,720,0.0,0.000419042247813195,283
252,432,384,0.0,0.0004171555337961763,190
527,864,120,0.0,0.00041709112701937556,207
427,96,576,0.0,0.0004170582687947899,144
493,528,192,0.1,0.00041701109148561954,134
978,576,576,0.2,0.00041697759297676384,360
646,288,576,0.1,0.000415363407228142,230
1068,24,624,0.2,0.00041499745566397905,206
1107,192,12,0.2,0.0004149961459916085,40
747,720,12,0.0,0.0004146914288867265,45
474,576,240,0.1,0.00041398018947802484,234
658,384,624,0.2,0.00041359677561558783,279
424,336,192,0.0,0.00041302505997009575,101
222,768,48,0.1,0.00041234499076381326,78
845,12,864,0.1,0.0004116350901313126,362
773,576,12,0.1,0.0004116251366212964,38
1052,480,72,0.0,0.00041146096191368997,75
382,768,864,0.2,0.00041109832818619907,649
591,288,144,0.0,0.0004108792345505208,82
841,624,336,0.2,0.0004108243156224489,236
359,192,672,0.0,0.0004104335675947368,239
1064,864,336,0.2,0.0004102613602299243,335
754,12,144,0.1,0.0004101813829038292,108
54,72,24,0.1,0.0004100584192201495,55
454,144,432,0.0,0.00040994654409587383,225
999,384,24,0.2,0.00040980364428833127,74
372,192,120,0.2,0.0004097760538570583,67
29,384,528,0.2,0.0004096820775885135,225
477,336,384,0.1,0.0004094172327313572,173
599,576,528,0.0,0.00040940946200862527,322
338,336,144,0.1,0.00040934624848887324,82
23,288,96,0.0,0.0004078900092281401,55
952,24,72,0.0,0.00040759233525022864,65
1140,72,240,0.0,0.0004075059259776026,132
724,720,120,0.2,0.00040683880797587335,233
496,12,432,0.1,0.00040620818617753685,204
318,288,384,0.0,0.0004061987274326384,158
491,240,624,0.2,0.00040596580947749317,338
838,768,384,0.0,0.0004055327735841274,468
855,336,768,0.2,0.00040547389653511345,465
687,144,24,0.1,0.0004053005832247436,57
570,48,48,0.1,0.00040495017310604453,60
529,144,480,0.2,0.00040471169631928205,249
104,192,624,0.0,0.00040445197373628616,219
709,864,432,0.0,0.00040431119850836694,405
696,48,432,0.2,0.00040399067802354693,151
1096,576,12,0.2,0.0004036863974761218,41
1120,120,528,0.2,0.00040362754953093827,170
446,768,864,0.0,0.0004032407305203378,651
843,864,720,0.1,0.0004030519921798259,1041
45,576,240,0.0,0.00040275644278153777,157
593,432,96,0.0,0.000402730714995414,70
723,576,624,0.0,0.0004024995141662657,376
416,336,144,0.0,0.00040180899668484926,83
363,240,432,0.1,0.0004016387974843383,317
67,336,144,0.2,0.00040143472142517567,117
1137,120,144,0.1,0.0004009235417470336,72
607,336,288,0.2,0.00040089289541356266,140
412,432,288,0.0,0.0004008517134934664,153
305,672,672,0.2,0.00040081769111566246,449
825,12,288,0.2,0.00040078748133964837,142
786,480,576,0.1,0.0004006808449048549,328
266,336,12,0.1,0.0004006687959190458,34
507,48,12,0.2,0.00040058785816654563,54
1012,24,144,0.0,0.00040001998422667384,83
1001,48,576,0.2,0.0003997806634288281,210
833,192,144,0.2,0.00039965854375623167,111
498,480,72,0.2,0.0003995855222456157,65
721,144,240,0.1,0.0003990287077613175,196
1011,336,336,0.0,0.0003986748051829636,166
27,240,432,0.0,0.0003983897913713008,164
844,48,432,0.1,0.0003982286143582314,161
58,672,624,0.1,0.00039821836980991066,414
893,12,72,0.1,0.0003981732588727027,102
547,120,720,0.2,0.0003980746550951153,191
682,288,48,0.0,0.0003980137116741389,63
931,240,72,0.1,0.0003971718542743474,56
414,24,288,0.0,0.00039577449206262827,129
613,288,528,0.1,0.0003949060628656298,305
1136,72,288,0.2,0.00039481662679463625,135
77,48,72,0.1,0.000394704780774191,55
983,624,144,0.1,0.00039415250648744404,128
146,192,48,0.2,0.0003933490952476859,42
868,432,864,0.2,0.0003933054977096617,594
96,864,864,0.2,0.00039318270864896476,1802
225,384,336,0.2,0.00039297741022892296,227
816,336,720,0.2,0.0003929234226234257,308
770,480,864,0.2,0.0003928693477064371,465
1094,288,12,0.0,0.0003922501055058092,54
1102,768,576,0.2,0.00039188010850921273,476
260,528,48,0.0,0.000391735986340791,54
135,12,384,0.2,0.0003916544374078512,217
636,720,624,0.1,0.0003916282148566097,675
671,192,120,0.0,0.00039159946027211845,72
624,288,480,0.1,0.00039135193219408393,199
818,24,720,0.1,0.0003909026272594929,263
25,384,192,0.1,0.00039078062400221825,147
243,336,864,0.1,0.00039077753899618983,336
1130,384,24,0.1,0.00039046703022904694,41
864,288,72,0.1,0.0003903197939507663,76
519,288,48,0.1,0.000390183791751042,61
1075,12,624,0.0,0.0003901286981999874,255
606,48,672,0.1,0.00039006039150990546,207
214,240,336,0.1,0.0003900598385371268,194
785,288,240,0.2,0.00039002890116535127,115
1092,12,192,0.2,0.0003899108269251883,113
628,240,192,0.1,0.00038965221028774977,101
1013,192,120,0.1,0.00038946152199059725,78
923,96,48,0.2,0.0003888016799464822,60
887,672,336,0.2,0.00038862720248289406,255
1030,384,72,0.1,0.00038847108953632414,64
587,336,288,0.0,0.0003882849414367229,141
1046,720,528,0.2,0.00038803525967523456,410
1133,144,768,0.1,0.00038780990871600807,288
175,624,528,0.1,0.0003874148242175579,332
515,624,624,0.1,0.0003870688087772578,395
579,12,864,0.2,0.00038681531441397965,353
1070,144,240,0.0,0.0003858792770188302,119
346,288,768,0.2,0.00038580517866648734,283
81,864,120,0.2,0.00038573978235945106,136
111,12,336,0.1,0.00038560916436836123,138
251,240,144,0.2,0.0003855143440887332,75
308,624,72,0.2,0.0003853562520816922,75
655,144,12,0.1,0.00038523675175383687,37
1110,432,624,0.2,0.0003847377374768257,467
763,12,144,0.2,0.0003843272279482335,108
231,480,48,0.2,0.0003840323188342154,74
667,192,720,0.2,0.0003840125573333353,371
792,12,432,0.0,0.0003834724775515497,211
922,12,288,0.0,0.00038340516039170325,179
4,192,480,0.2,0.00038332975236698985,176
150,672,768,0.0,0.0003833104274235666,502
962,12,384,0.0,0.000383266102289781,213
932,24,528,0.1,0.00038311249227263033,176
688,768,24,0.0,0.000382672471459955,55
673,624,12,0.0,0.0003825858002528548,40
262,576,768,0.2,0.00038194097578525543,432
440,768,672,0.2,0.00038188876351341605,514
847,288,720,0.0,0.0003818445256911218,284
1017,624,288,0.2,0.00038181175477802753,213
966,480,12,0.2,0.0003816602984443307,43
751,48,576,0.0,0.0003814279043581337,240
471,96,24,0.0,0.0003812818613369018,54
264,672,576,0.1,0.0003811899805441499,569
72,120,576,0.1,0.00038115557981655,215
576,576,48,0.1,0.000380798417609185,107
184,624,720,0.2,0.0003806473105214536,705
535,576,288,0.0,0.00038049928843975067,187
224,768,720,0.1,0.0003802516730502248,911
610,528,96,0.2,0.00038023144588805735,120
192,768,432,0.0,0.0003798872930929065,334
900,24,192,0.1,0.0003798645921051502,111
762,48,720,0.2,0.0003795793163590133,277
577,672,384,0.0,0.00037936377339065075,279
386,120,192,0.1,0.00037899723974987864,100
1054,240,12,0.2,0.00037850235821679235,38
167,24,768,0.1,0.00037812540540471673,199
497,72,120,0.0,0.0003777447564061731,71
56,240,12,0.0,0.00037770046037621796,34
162,96,576,0.1,0.0003776138764806092,194
522,144,336,0.2,0.0003775492950808257,133
866,144,288,0.1,0.00037751346826553345,122
353,192,672,0.2,0.0003774586657527834,346
1116,96,672,0.2,0.00037633173633366823,258
600,12,528,0.0,0.0003762986452784389,244
196,288,480,0.0,0.00037615009932778776,271
51,288,672,0.2,0.0003759370883926749,245
835,480,576,0.2,0.00037587375845760107,464
429,576,480,0.0,0.00037567931576631963,288
467,624,120,0.1,0.0003754843201022595,104
487,24,528,0.2,0.0003754555946215987,199
563,192,576,0.2,0.0003753646742552519,308
258,336,336,0.1,0.0003748109738808125,218
349,48,864,0.1,0.0003747735172510147,240
165,12,768,0.2,0.00037441751919686794,357
1031,96,288,0.0,0.0003741511609405279,136
204,192,768,0.1,0.00037408628850243986,269
1111,240,624,0.0,0.00037389263161458075,258
466,48,864,0.0,0.00037380383582785726,247
506,480,48,0.0,0.0003736579092219472,53
677,480,528,0.1,0.0003735763602890074,294
571,672,576,0.2,0.000373222806956619,398
1123,120,864,0.0,0.000373201968614012,439
707,72,576,0.0,0.00037312463973648846,201
43,240,768,0.2,0.00037309544859454036,505
826,120,24,0.1,0.00037305214209482074,59
528,72,96,0.2,0.0003728979208972305,75
8,384,864,0.2,0.00037274343776516616,729
230,240,528,0.2,0.00037269931635819376,195
850,384,720,0.2,0.0003725243150256574,606
136,48,288,0.1,0.0003725096466951072,132
933,12,240,0.0,0.0003724419220816344,172
377,120,48,0.0,0.0003721033572219312,60
768,480,480,0.2,0.0003719522792380303,273
317,864,288,0.0,0.0003718382795341313,277
301,48,336,0.2,0.0003715613856911659,119
347,72,720,0.2,0.00037147608236409724,221
645,48,240,0.2,0.000371389149222523,105
447,720,144,0.0,0.0003713335609063506,134
1113,720,192,0.1,0.00037111793062649667,177
1143,288,288,0.1,0.0003710961900651455,148
226,768,72,0.1,0.00037098710890859365,87
1049,240,864,0.1,0.00037097730091772974,474
193,432,120,0.1,0.00037081295158714056,112
370,864,240,0.0,0.00037060692557133734,238
55,72,12,0.2,0.00037055613938719034,51
907,768,672,0.0,0.0003704328555613756,772
229,672,96,0.0,0.0003704192058648914,138
680,12,288,0.1,0.00037030104431323707,172
968,384,768,0.2,0.00037015072302892804,390
287,864,96,0.0,0.00037005345802754164,126
573,288,432,0.2,0.00036964143509976566,180
407,96,288,0.2,0.00036933747469447553,84
637,480,576,0.0,0.00036880371044389904,319
400,240,288,0.2,0.0003687803109642118,124
715,576,672,0.2,0.0003687374701257795,584
595,192,240,0.1,0.0003686648269649595,155
627,672,384,0.2,0.00036769366124644876,534
468,672,24,0.0,0.0003676071937661618,71
409,96,12,0.1,0.0003675828338600695,49
568,288,12,0.2,0.00036735256435349584,67
821,12,624,0.1,0.00036733553861267865,280
110,576,192,0.2,0.0003673094615805894,131
335,12,672,0.0,0.0003672886232379824,279
277,432,288,0.1,0.00036725649260915816,287
83,432,672,0.0,0.0003670087899081409,445
836,720,336,0.0,0.00036697418545372784,269
406,336,120,0.1,0.00036682962672784925,107
897,576,120,0.2,0.0003667449636850506,147
514,432,288,0.2,0.00036663751234300435,153
164,192,672,0.1,0.0003666113188955933,340
433,672,720,0.1,0.0003663625393528491,531
5,768,144,0.2,0.00036629318492487073,141
1015,672,768,0.1,0.0003660471411421895,538
612,432,480,0.0,0.0003658272325992584,347
832,432,672,0.1,0.0003657968482002616,470
205,336,12,0.2,0.00036575374542735517,33
1097,480,192,0.1,0.0003654280153568834,134
215,720,528,0.0,0.000365397019777447,571
744,672,720,0.2,0.0003650974540505558,547
249,96,768,0.1,0.00036495423410087824,316
778,864,768,0.1,0.0003647742560133338,1005
486,528,864,0.2,0.00036467111203819513,712
867,528,72,0.2,0.00036452445783652365,73
267,48,96,0.2,0.0003643941308837384,70
365,768,576,0.1,0.00036424974678084254,445
555,12,576,0.1,0.00036421234835870564,306
691,12,96,0.0,0.00036417710362002254,80
614,24,12,0.2,0.0003640983486548066,95
350,720,72,0.0,0.00036406482104212046,122
672,72,864,0.2,0.00036382483085617423,279
1047,864,864,0.0,0.0003636966284830123,786
1059,672,288,0.1,0.00036340916994959116,234
784,720,240,0.2,0.0003631963627412915,204
634,432,12,0.2,0.0003631326835602522,63
421,672,720,0.0,0.00036290797288529575,532
981,384,672,0.0,0.00036276274477131665,311
553,96,720,0.0,0.00036273698788136244,241
113,120,672,0.2,0.0003627277328632772,170
482,624,144,0.2,0.0003625469107646495,117
40,144,288,0.0,0.0003624158853199333,160
402,768,672,0.1,0.00036198756424710155,1234
941,480,96,0.2,0.00036189169622957706,81
987,720,768,0.1,0.0003618063929025084,574
558,672,624,0.0,0.0003615654422901571,624
703,864,240,0.1,0.0003615497553255409,244
1152,528,720,0.0,0.0003612744330894202,471
241,72,528,0.2,0.0003608389524742961,224
190,12,120,0.1,0.0003606337995734066,107
170,48,720,0.0,0.00036033475771546364,200
237,720,528,0.1,0.0003603204677347094,384
300,528,768,0.0,0.0003601197386160493,430
180,120,72,0.1,0.00036011473275721073,59
714,528,864,0.0,0.00035957907675765455,501
1117,336,720,0.0,0.00035945934359915555,324
119,528,768,0.1,0.0003590413834899664,429
163,12,240,0.1,0.0003590176347643137,133
741,528,72,0.1,0.0003585965605452657,105
720,12,528,0.1,0.00035846373066306114,245
998,624,336,0.1,0.00035839059273712337,245
780,720,48,0.1,0.0003583767684176564,101
679,288,864,0.1,0.0003578215546440333,332
1034,432,120,0.2,0.00035744262277148664,169
275,480,144,0.0,0.0003573206777218729,99
957,72,768,0.1,0.00035713944816961884,370
659,240,24,0.2,0.00035684570320881903,39
1044,144,72,0.1,0.00035672399098984897,82
994,480,480,0.0,0.00035667530028149486,278
958,48,144,0.0,0.0003564571961760521,94
123,672,240,0.1,0.0003564169746823609,269
330,12,336,0.0,0.0003564060607459396,195
532,72,480,0.2,0.00035638382541947067,168
729,12,120,0.2,0.0003561365883797407,138
238,480,192,0.2,0.0003560955519787967,121
0,576,624,0.1,0.0003558381285984069,357
290,144,480,0.1,0.0003557918535079807,240
469,144,432,0.2,0.0003555680450517684,291
1098,528,24,0.1,0.0003555640287231654,65
1050,72,96,0.0,0.0003555517760105431,68
840,48,528,0.1,0.00035545026184991,225
564,528,528,0.2,0.0003553720307536423,317
749,12,96,0.2,0.00035534505150280893,115
