,units,n_back,dropout,vloss,sec_elaps
501,72,768,0.1,0.014832704328000546,82
382,96,240,0.2,0.014832418411970139,49
89,480,576,0.1,0.0148315234109759,259
553,48,144,0.1,0.01483147218823433,28
357,96,624,0.2,0.014830511063337326,96
127,720,24,0.1,0.014829684048891,75
424,192,12,0.1,0.014828507788479328,30
437,672,624,0.1,0.0148281529545784,287
455,48,48,0.1,0.014823894947767258,29
335,120,576,0.0,0.014822850935161114,77
125,240,432,0.0,0.0148227075114846,88
440,768,336,0.0,0.014821591787040234,196
476,96,144,0.0,0.014819943346083164,30
334,576,720,0.0,0.01481869351118803,279
478,288,240,0.0,0.014818480238318443,76
120,240,144,0.2,0.0148139717057347,45
379,240,768,0.1,0.014812651090323925,172
325,48,384,0.0,0.014812053181231022,47
94,240,240,0.2,0.0148111544549465,39
583,864,336,0.2,0.014806384220719337,178
351,336,576,0.2,0.014801166951656342,83
576,480,768,0.0,0.01479692105203867,202
302,72,624,0.0,0.014788789674639702,71
220,192,624,0.2,0.014788239262998104,175
105,720,528,0.1,0.0147860776633024,266
342,528,864,0.0,0.01478568371385336,546
223,24,864,0.2,0.014784671366214752,99
180,24,24,0.1,0.014783364720642567,44
34,384,528,0.1,0.014782934449613,197
381,336,240,0.2,0.014782572165131569,63
15,768,72,0.2,0.0147818494588136,76
119,192,528,0.0,0.0147813381627202,69
41,144,240,0.0,0.0147802773863077,68
348,72,12,0.1,0.014777990989387035,36
113,720,432,0.0,0.0147763676941394,171
148,288,672,0.0,0.01477303821593523,163
176,528,528,0.0,0.0147722652181983,207
74,96,240,0.0,0.0147655922919511,38
421,384,240,0.0,0.01476319506764412,88
360,192,144,0.0,0.014760629273951054,40
361,720,576,0.0,0.014760417863726616,217
465,576,384,0.0,0.01475348137319088,127
134,720,432,0.2,0.014749649912118912,182
64,384,336,0.0,0.0147493463009595,167
418,336,624,0.1,0.0147483479231596,169
296,72,624,0.2,0.014746285043656826,70
47,672,528,0.2,0.0147385345771908,187
85,120,288,0.0,0.0147357219830155,35
284,48,120,0.0,0.014735683798789978,40
28,720,720,0.0,0.0147354630753397,429
230,24,480,0.0,0.014732785522937775,65
520,480,480,0.2,0.014732173644006252,221
377,12,480,0.1,0.014729060232639313,111
202,336,192,0.2,0.014728445559740067,74
