,units,n_back,dropout,vloss,sec_elaps
75,864,672,0.0,0.000849048316013068,197
557,72,768,0.2,0.0008448652224615216,59
217,624,624,0.0,0.000843692512717098,132
638,192,432,0.0,0.0008408394060097635,58
505,120,12,0.1,0.0008396257762797177,14
419,120,384,0.0,0.0008393165771849453,39
336,96,288,0.0,0.0008391088340431452,40
605,576,528,0.1,0.0008382804226130247,171
390,528,120,0.2,0.0008380363578908145,48
203,240,432,0.1,0.0008376066107302904,56
571,144,528,0.2,0.0008359865751117468,92
354,240,432,0.0,0.0008354492019861937,55
148,672,24,0.2,0.0008346138638444245,18
738,864,768,0.2,0.0008337394101545215,354
56,720,24,0.1,0.0008330787532031536,27
180,480,24,0.0,0.000832243007607758,15
514,336,120,0.2,0.0008321341592818499,27
449,144,432,0.1,0.0008320068009197712,52
771,336,96,0.1,0.0008310758857987821,27
769,528,384,0.1,0.000830216973554343,122
746,480,432,0.2,0.0008301943889819086,125
393,768,720,0.0,0.0008301373454742134,269
63,672,96,0.1,0.0008295964216813445,48
528,144,480,0.2,0.0008285610820166767,58
802,576,672,0.0,0.0008274567080661654,138
185,384,624,0.2,0.000826946459710598,88
218,96,120,0.0,0.0008239924209192395,18
18,384,288,0.1,0.000823067151941359,68
593,720,336,0.1,0.0008223765180446208,95
435,672,672,0.2,0.0008209095685742795,295
479,576,384,0.0,0.0008204787154681981,81
191,576,384,0.2,0.000819795357529074,80
30,24,288,0.1,0.0008175430702976882,34
690,24,192,0.2,0.0008171930094249547,31
65,24,768,0.0,0.0008171254303306341,65
566,768,480,0.2,0.0008169387001544237,135
22,384,864,0.0,0.0008160264114849269,116
559,120,528,0.1,0.000815162668004632,51
109,240,96,0.2,0.0008148578344844282,20
756,624,432,0.2,0.000814710627309978,106
541,384,672,0.0,0.0008142191218212247,97
16,96,288,0.1,0.0008132255170494318,28
47,336,144,0.0,0.0008130505448207259,28
164,720,432,0.1,0.0008122461149469018,108
472,672,336,0.1,0.000812238606158644,84
380,240,24,0.0,0.0008121880237013102,14
691,288,864,0.0,0.0008107128669507802,114
598,192,288,0.1,0.0008107083267532289,43
386,288,528,0.0,0.0008101767743937671,68
97,528,72,0.0,0.0008101113489829004,24
289,240,24,0.1,0.000809521647170186,14
275,720,864,0.0,0.0008094341028481722,202
195,864,24,0.0,0.0008068399038165808,22
633,336,12,0.2,0.0008066373993642628,14
320,672,144,0.2,0.0008063639979809523,44
12,192,528,0.2,0.000805404270067811,63
439,720,576,0.2,0.0008050530450418591,142
295,768,192,0.0,0.0008046579314395785,59
781,336,96,0.2,0.0008041027467697859,28
207,144,720,0.2,0.0008038670639507473,76
652,384,336,0.1,0.0008034888305701315,58
448,240,144,0.2,0.0008019529632292688,26
743,384,12,0.0,0.000801938702352345,15
565,12,240,0.1,0.0008016536012291908,42
490,12,144,0.2,0.0007994023035280406,36
350,12,288,0.2,0.0007992772734723985,43
670,864,48,0.0,0.000796435633674264,31
568,528,24,0.0,0.0007960632210597396,17
667,480,432,0.0,0.0007955484907142818,124
644,432,336,0.0,0.0007947240956127644,61
579,480,48,0.2,0.0007944316603243351,28
371,576,72,0.2,0.0007939944043755531,25
20,768,528,0.2,0.0007939278148114681,201
591,288,240,0.0,0.0007939242059364915,43
201,240,768,0.0,0.000793777231592685,126
509,432,384,0.1,0.0007933905581012368,66
552,192,432,0.2,0.0007913665613159537,79
233,528,480,0.1,0.0007912861765362322,138
794,768,24,0.2,0.0007912504370324314,22
486,624,864,0.2,0.0007900938508100808,179
61,120,672,0.2,0.0007898709154687822,57
290,384,528,0.0,0.000788479985203594,76
124,864,432,0.2,0.000787153432611376,196
206,192,384,0.0,0.000785188633017242,49
126,432,864,0.2,0.0007836157456040382,128
778,288,432,0.2,0.0007834392599761486,69
193,480,144,0.2,0.0007826851797290146,34
277,528,336,0.2,0.0007823096239008009,70
575,768,336,0.1,0.0007817953592166305,97
103,576,768,0.1,0.0007810445385985076,146
510,864,480,0.0,0.000780426780693233,218
452,480,528,0.2,0.0007798026781529188,139
783,72,144,0.2,0.0007797913858667016,32
532,288,48,0.1,0.0007796181598678231,22
246,48,72,0.2,0.000779405003413558,20
89,624,480,0.0,0.0007791938842274249,152
190,528,24,0.1,0.0007791377720423043,16
487,24,384,0.2,0.0007788531947880983,54
480,240,864,0.1,0.0007786546484567225,99
782,528,72,0.2,0.0007779186707921326,41
681,24,432,0.0,0.000777757610194385,63
144,240,384,0.0,0.000777656096033752,49
51,528,528,0.1,0.0007766395574435592,101
83,96,624,0.1,0.0007760747685097158,68
90,480,336,0.0,0.0007754565449431539,64
525,240,672,0.0,0.0007741742301732302,118
381,432,480,0.2,0.0007735997787676752,78
230,240,144,0.0,0.0007735074614174664,26
376,432,120,0.2,0.0007734151440672576,28
372,192,12,0.0,0.0007729798089712858,13
530,528,12,0.1,0.0007723128655925393,25
78,96,144,0.0,0.0007716910913586617,26
60,864,864,0.1,0.0007697934634052217,247
116,624,672,0.1,0.0007697839755564928,139
499,24,12,0.0,0.0007694601081311703,27
608,288,96,0.2,0.0007693112129345536,36
26,576,240,0.1,0.0007692003273405135,78
272,864,72,0.0,0.0007691126666031778,36
629,336,12,0.0,0.0007690045749768615,14
120,384,120,0.0,0.0007685149321332574,37
643,192,720,0.0,0.0007683908334001899,89
639,432,72,0.0,0.0007679282571189106,24
599,480,72,0.2,0.0007674098014831543,35
504,24,624,0.1,0.0007663399446755648,58
330,384,864,0.2,0.0007660090923309326,170
238,24,72,0.1,0.0007647835882380605,28
500,768,24,0.1,0.00076460768468678,20
82,768,48,0.2,0.0007625427097082138,37
511,192,288,0.2,0.0007615454960614443,40
641,768,96,0.1,0.0007605155115015805,39
751,336,480,0.0,0.0007604763959534466,75
261,432,336,0.2,0.0007602076511830091,58
249,480,192,0.1,0.0007589500164613128,42
48,576,48,0.0,0.0007574011688120663,21
98,528,288,0.1,0.0007568977307528257,60
583,12,384,0.2,0.000756466353777796,66
158,864,624,0.1,0.0007549062138423324,184
34,384,144,0.1,0.0007548767025582492,42
140,864,96,0.0,0.0007546973065473139,42
106,576,288,0.1,0.0007541344384662807,63
421,48,528,0.0,0.0007537392084486783,54
173,480,72,0.0,0.0007525463006459177,42
710,480,288,0.2,0.0007524504908360541,65
357,12,624,0.2,0.0007517545600421727,72
523,864,432,0.1,0.0007507945410907269,135
356,432,432,0.2,0.0007506056572310627,105
582,432,24,0.2,0.000750493782106787,16
742,480,192,0.0,0.0007498820195905864,46
93,120,528,0.0,0.0007498412160202861,66
11,480,96,0.0,0.0007495631580241024,39
115,24,192,0.1,0.0007494893507100642,35
600,48,480,0.2,0.0007492227596230805,54
722,192,12,0.2,0.0007473742589354515,15
547,144,24,0.0,0.0007472379948012531,20
128,288,192,0.0,0.0007468292606063187,46
224,624,864,0.0,0.0007466977112926543,175
423,384,12,0.1,0.0007464964292012155,13
467,144,384,0.1,0.0007464416557922959,86
622,432,192,0.1,0.0007461095228791237,58
411,12,768,0.1,0.0007456808816641569,84
194,768,480,0.0,0.0007454839069396257,127
750,864,288,0.1,0.0007452480494976044,199
31,864,480,0.2,0.0007452036952599883,214
166,480,72,0.1,0.0007451186538673937,23
607,12,24,0.0,0.0007450861157849431,33
72,12,72,0.2,0.0007447705720551312,42
786,624,48,0.1,0.0007436060113832355,26
442,480,48,0.1,0.0007435797597281635,27
64,720,240,0.2,0.0007424469222314656,96
469,336,120,0.1,0.0007415720028802752,36
727,864,96,0.1,0.0007415438303723931,47
470,528,12,0.0,0.0007413016865029931,14
276,432,432,0.1,0.0007408707169815898,71
216,576,720,0.2,0.0007406785734929144,138
303,240,480,0.1,0.0007403199560940266,87
663,672,864,0.1,0.0007402599439956248,203
764,480,624,0.0,0.0007400607573799789,173
6,672,528,0.1,0.0007396176806651056,124
241,672,240,0.2,0.0007388740195892751,62
648,12,144,0.0,0.0007381095783784986,49
33,120,144,0.0,0.0007373407715931535,29
382,624,12,0.0,0.0007366310455836356,15
199,480,12,0.1,0.0007362256292253733,19
760,768,48,0.1,0.0007351120584644377,40
759,576,24,0.1,0.0007350983796641231,19
253,336,672,0.1,0.0007347820210270584,88
414,720,384,0.1,0.0007338767754845321,190
76,12,96,0.1,0.0007337952847592533,35
433,480,144,0.1,0.0007336577400565147,34
279,192,240,0.2,0.0007336571579799056,50
483,120,480,0.0,0.0007327357889153063,65
453,720,72,0.2,0.0007325696642510593,30
745,144,624,0.0,0.000731857493519783,108
682,576,24,0.0,0.0007316357223317027,18
373,96,672,0.1,0.0007314114482142031,94
573,720,528,0.1,0.0007311642984859645,198
563,576,528,0.0,0.0007305903127416968,162
58,24,240,0.2,0.0007304477621801198,47
107,12,72,0.0,0.0007298731943592429,35
46,528,48,0.2,0.0007294090464711189,20
287,72,12,0.0,0.0007294001406989992,20
728,576,384,0.1,0.0007293643429875374,125
13,624,72,0.2,0.0007290723733603954,26
84,288,192,0.1,0.0007288074120879173,45
747,432,12,0.1,0.0007277539116330445,19
712,144,12,0.2,0.0007276093820109963,20
409,768,432,0.1,0.0007274661911651492,117
288,864,12,0.1,0.0007272751536220312,27
112,24,480,0.2,0.0007271104259416461,60
204,864,576,0.2,0.000726538710296154,333
699,288,72,0.0,0.0007265295134857297,21
460,768,144,0.1,0.000726474158000201,49
383,480,720,0.2,0.0007264303858391941,181
139,768,96,0.2,0.000726151280105114,69
458,720,624,0.0,0.0007261096034198999,152
570,864,384,0.2,0.0007261015707626939,127
576,336,144,0.2,0.0007250713533721864,43
567,336,672,0.0,0.0007250422495417297,139
271,240,480,0.0,0.0007243193103931844,112
55,120,192,0.0,0.0007241754792630672,33
635,48,96,0.2,0.0007233446231111884,27
110,384,48,0.1,0.0007229085895232856,17
9,96,96,0.2,0.000722674943972379,22
548,240,720,0.0,0.0007223779102787375,121
343,12,864,0.1,0.0007220421684905887,113
540,864,720,0.1,0.0007220194675028324,215
159,480,480,0.0,0.0007219624239951372,126
1,72,432,0.2,0.000721785007044673,51
192,96,480,0.2,0.000721219286788255,56
549,672,336,0.2,0.0007211522897705436,84
516,24,864,0.0,0.0007211512420326471,119
152,768,720,0.1,0.0007210420444607735,267
761,48,384,0.1,0.000720899784937501,49
784,72,480,0.1,0.0007208992028608918,82
658,768,240,0.2,0.0007203584536910057,76
708,624,240,0.0,0.0007201569387689233,95
718,12,720,0.2,0.0007200337713584304,132
601,120,72,0.2,0.0007199834799394011,25
318,336,288,0.0,0.0007198531529866159,46
324,720,48,0.2,0.0007196047808974981,35
130,768,144,0.2,0.0007193093770183623,70
773,528,480,0.0,0.0007181155378930271,106
440,864,384,0.0,0.0007176743820309639,177
426,384,48,0.2,0.0007176140788942575,31
169,336,384,0.2,0.0007162483525462449,82
105,720,192,0.1,0.0007160390960052609,106
86,288,336,0.0,0.0007159023080021143,67
719,192,192,0.0,0.0007152751786634326,46
171,432,96,0.0,0.0007152443868108094,25
163,528,672,0.1,0.0007151624886319041,242
312,576,96,0.1,0.00071495067095384,30
87,336,336,0.1,0.0007144960691221058,50
91,48,432,0.2,0.0007139256340451539,59
696,12,576,0.1,0.0007135661435313523,110
416,384,72,0.0,0.0007134486804716289,29
54,576,96,0.2,0.000713408924639225,41
664,96,24,0.0,0.0007134036277420819,20
637,144,12,0.1,0.000712923938408494,20
527,864,528,0.0,0.0007127546123228967,235
311,72,720,0.1,0.0007124854018911719,75
342,864,144,0.0,0.0007122480892576277,107
619,432,72,0.1,0.0007113968022167683,22
590,576,192,0.2,0.0007113925530575216,94
234,720,480,0.2,0.0007109383004717529,119
99,528,120,0.1,0.0007105209515430033,46
804,288,672,0.0,0.0007097081979736686,93
