,units,n_back,dropout,vloss,sec_elaps
32,384,576,0.2,0.0017212171806022525,360
189,24,144,0.1,0.0017205277690663934,65
74,192,48,0.1,0.0017192019149661064,42
110,144,624,0.0,0.0017187022604048252,293
26,144,768,0.1,0.0017182830488309264,247
181,864,48,0.0,0.0017176388064399362,113
206,120,12,0.2,0.0017170069040730596,48
281,432,384,0.1,0.0017166680190712214,275
81,240,432,0.0,0.0017162984004244208,162
298,432,288,0.2,0.0017160362331196666,217
259,144,48,0.1,0.0017155198147520423,42
62,528,192,0.2,0.001715318881906569,248
200,120,720,0.0,0.0017149073537439108,250
71,672,96,0.1,0.001714894431643188,96
57,48,240,0.1,0.0017146319150924683,91
25,120,768,0.1,0.0017140664858743548,185
198,672,192,0.0,0.0017139975680038333,220
144,336,72,0.0,0.0017138433177024126,74
93,528,384,0.2,0.0017131606582552195,229
157,864,768,0.2,0.0017105122096836567,1281
174,192,480,0.2,0.0017090394394472241,248
127,288,672,0.2,0.0017073260387405753,358
95,12,144,0.1,0.0017072458285838366,83
48,12,24,0.1,0.0017071092734113336,74
245,144,24,0.0,0.0017067481530830264,53
37,336,120,0.1,0.0017060862155631185,102
204,672,480,0.2,0.001704813214018941,324
239,576,432,0.1,0.001702393521554768,375
67,240,144,0.0,0.0017023320542648435,73
273,720,192,0.2,0.0017021925887092948,310
168,144,96,0.0,0.001701987348496914,74
266,240,672,0.1,0.001700391061604023,444
199,336,144,0.0,0.0016968643758445978,116
227,48,48,0.2,0.0016942808870226145,35
151,192,576,0.2,0.0016930254641920328,286
182,576,480,0.2,0.0016921706264838576,410
129,624,24,0.2,0.00169095559976995,87
162,384,864,0.2,0.001690584234893322,502
87,768,144,0.1,0.0016895134467631578,202
219,48,24,0.2,0.0016891693230718374,34
21,48,384,0.0,0.0016871447442099452,86
194,576,240,0.2,0.0016869113314896822,227
229,96,768,0.1,0.0016816015122458339,241
230,12,72,0.0,0.0016812828835099936,58
2,576,336,0.0,0.0016798938158899546,301
288,864,12,0.2,0.0016787333879619837,115
261,672,48,0.2,0.0016757958801463246,91
183,12,480,0.1,0.001673943130299449,132
123,48,336,0.0,0.0016686440212652087,81
213,24,768,0.2,0.001668220036663115,196
173,768,288,0.2,0.0016680853441357613,456
190,12,720,0.1,0.0016675760271027684,280
212,672,288,0.1,0.001667354954406619,306
35,12,12,0.1,0.001666750991716981,71
31,624,72,0.1,0.0016665002331137657,139
59,192,528,0.2,0.0016662254929542542,270
215,336,120,0.0,0.0016617882065474987,134
54,672,72,0.2,0.0016568724531680346,151
97,384,12,0.2,0.0016562941018491983,76
299,288,192,0.0,0.0016554613830521703,132
117,384,288,0.2,0.0016523064114153385,266
103,288,480,0.2,0.0016515986062586308,269
77,48,72,0.2,0.0016496662283316255,53
34,576,480,0.0,0.0016493648290634155,546
137,336,576,0.2,0.0016389226075261831,438
7,120,24,0.0,0.0016359981382265687,51
135,72,528,0.0,0.001635436899960041,168
185,720,72,0.1,0.0016277724644169211,155
152,864,240,0.1,0.0016256034141406417,562
272,672,144,0.1,0.001623381394892931,234
121,528,72,0.2,0.0016211462207138538,159
75,288,24,0.2,0.001620159368030727,97
100,240,336,0.0,0.0016201228136196733,254
158,672,384,0.2,0.0016191517934203148,517
20,528,336,0.1,0.0016184040578082204,487
254,144,720,0.0,0.0016183929983526468,424
161,288,24,0.1,0.0016183472471311688,81
220,144,240,0.1,0.0016176883364096284,180
128,24,432,0.1,0.0016120666405186057,169
27,12,96,0.0,0.0016091224970296025,73
155,576,72,0.2,0.0016072343569248915,163
42,672,336,0.0,0.0016068273689597845,699
176,720,240,0.2,0.0016065897652879357,459
208,864,120,0.2,0.0016062065260484815,327
263,528,672,0.0,0.0016059912741184235,888
279,528,96,0.1,0.001603460288606584,150
287,336,672,0.2,0.001598609029315412,516
15,336,192,0.2,0.0015978168230503798,139
99,384,336,0.0,0.001589710358530283,373
66,120,384,0.0,0.001588951563462615,202
294,432,240,0.0,0.0015873012598603964,364
65,528,480,0.2,0.001586527330800891,674
253,480,384,0.1,0.0015857865801081061,408
1,192,72,0.1,0.0015838860999792814,89
203,480,768,0.0,0.0015810061013326049,925
53,720,12,0.1,0.0015802002744749188,136
166,192,624,0.0,0.0015789662720635533,497
130,672,144,0.0,0.0015755976783111691,297
223,576,240,0.1,0.0015755213098600507,446
51,336,48,0.0,0.0015724935801699758,102
276,336,384,0.0,0.0015694143949076533,313
293,624,672,0.2,0.0015689147403463721,1186
301,720,864,0.0,0.0015676498878747225,1735
236,144,24,0.1,0.0015655235620215535,84
171,192,528,0.1,0.0015625986270606518,347
271,480,48,0.2,0.0015622416976839304,119
285,12,192,0.0,0.0015567223308607936,148
36,72,12,0.2,0.0015559520106762648,63
244,384,384,0.2,0.001531953806988895,407
232,336,672,0.1,0.0015310515882447362,626
284,192,432,0.1,0.001529501285403967,370
280,48,480,0.1,0.0015181954950094223,189
207,192,384,0.0,0.001518133096396923,269
70,72,240,0.0,0.0015165074728429317,189
218,24,72,0.2,0.001514733536168933,110
38,432,720,0.1,0.001513608731329441,975
91,480,288,0.0,0.0015133252600207925,403
249,12,72,0.1,0.0015093394322320819,127
114,96,72,0.2,0.001508337794803083,88
187,72,576,0.2,0.001506182597950101,288
289,48,12,0.0,0.0015006790636107326,75
150,48,624,0.0,0.00149822561070323,281
250,72,288,0.0,0.0014966843882575631,178
106,192,432,0.0,0.001493576797656715,371
116,192,720,0.1,0.001477419980801642,672
217,288,624,0.2,0.0014690441312268376,637
305,528,624,0.1,0.0014625390758737922,1174
112,48,432,0.1,0.0014602537266910076,177
224,72,120,0.2,0.0014600914437323809,105
282,336,240,0.1,0.0014577361289411783,326
79,144,144,0.0,0.001444531953893602,191
159,480,240,0.0,0.0014342949725687504,540
33,144,12,0.0,0.0014330802951008081,89
82,120,288,0.2,0.0014326816890388727,166
267,120,480,0.0,0.0014239995507523417,292
201,576,288,0.0,0.0014196167467162013,514
197,96,480,0.1,0.0014195344410836697,214
141,120,240,0.0,0.0014142760774120688,174
167,480,480,0.0,0.0014082996640354395,731
19,192,480,0.0,0.0014003630494698882,408
255,48,480,0.2,0.0013944164384156466,191
275,288,576,0.1,0.0013933948939666152,601
115,288,240,0.0,0.0013862724881619215,300
286,72,768,0.0,0.001378938788548112,376
101,384,288,0.1,0.0013740338617935777,394
17,288,624,0.0,0.0013702602591365576,659
80,864,384,0.1,0.0013648084132000804,1208
175,120,336,0.2,0.0013575067277997732,260
105,96,144,0.0,0.0013573062606155872,119
132,96,864,0.1,0.001350358477793634,512
148,288,384,0.2,0.001337918802164495,495
40,480,288,0.2,0.001321706222370267,554
147,192,576,0.0,0.0013191921170800924,646
238,48,864,0.1,0.0012987519148737192,434
43,72,480,0.2,0.0012770916800945997,255
68,48,384,0.2,0.0011993189109489322,197
90,144,864,0.1,0.0011615431867539883,994
28,72,288,0.1,0.0011469513410702348,208
0,144,576,0.0,0.0011236872524023056,704
41,12,12,0.0,0.0011203971225768328,123
120,72,864,0.1,0.0010923920199275017,563
303,48,288,0.1,0.0010763552272692323,283
296,72,864,0.2,0.0010714519303292036,554
179,144,96,0.1,0.0010171288158744574,123
304,72,384,0.1,0.0009047567145898938,335
260,24,96,0.0,0.0008813626482151449,122
178,120,240,0.1,0.0008611165103502572,410
184,96,192,0.0,0.0008171454537659883,215
172,72,120,0.1,0.0007581368554383516,202
76,72,96,0.2,0.0007319505093619227,143
60,72,192,0.2,0.0006343071581795812,374
